location_id,countryID,longitude,latitude,locationName,isMobile,isMonitor,provider,sensorID,instruments,sensorParameterID,firstUpdated,lastUpdated
225437,ZA,28.47539,-26.11663,Etwatwa-NAQI,False,True,South Africa,"1329156, 1303527, 1303560, 1303561",Government Monitor,"10, 1, 2, 9",2021-04-29T17:00:00Z,2024-02-10T18:00:00Z
225438,ZA,29.18902,-26.52352,Club-NAQI,False,True,South Africa,"4276215, 1303536, 4275818, 1303459, 1303446, 1303525, 1303436",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T16:00:00Z,2024-03-12T10:00:00Z
225439,ZA,28.01887,-25.92185,Diepsloot,False,True,South Africa,"1303502, 1303378, 1303567",Government Monitor,"10, 1, 9",2021-04-28T23:00:00Z,2024-03-12T10:00:00Z
225440,ZA,29.96805,-26.49335,Ermelo-NAQI,False,True,South Africa,"1303539, 4277277, 1583921, 4277247, 1303485, 1303546, 1303650, 1303426",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225441,ZA,29.0725,-26.53639,eMbalenhle North,False,True,South Africa,"4277292, 1303516, 4277294, 1303411, 1303554, 1303655, 1303367",Government Monitor,"35, 7, 19840, 10, 1, 2, 9",2021-04-29T15:00:00Z,2024-03-12T10:00:00Z
225442,ZA,30.97872,-29.95874,Settlers-NAQI,False,True,South Africa,"1303403, 1303651, 1303565",Government Monitor,"1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T08:00:00Z
225443,ZA,26.24195,-29.13851,Pelonomi-NAQI,False,True,South Africa,"1303377, 1303424, 1303602",Government Monitor,"1, 2, 9",2021-04-29T17:00:00Z,2024-03-12T10:00:00Z
225444,ZA,27.84925,-33.01494,Gompo,False,True,South Africa,"1303488, 4276122, 1303534, 4275685, 1303533, 1303402, 1303434",Government Monitor,"8, 35, 7, 19840, 1, 2, 9",2021-04-29T17:00:00Z,2023-07-25T11:00:00Z
225445,ZA,27.95642,-26.25073,Diepkloof-NAQI,False,True,South Africa,"1303443, 4613421, 1303494, 4613422, 1303599, 1303528, 1303474, 1303383",Government Monitor,"8, 35, 7, 19840, 10, 1, 2, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225446,ZA,28.14299,-26.32952,Thokoza-NAQI,False,True,South Africa,"1562097, 1303660",Government Monitor,"1, 9",2021-04-29T18:00:00Z,2024-03-12T11:00:00Z
225447,ZA,19.46832,-33.62749,Worcester-NAQI,False,True,South Africa,"1303513, 1303639, 1303581, 1303472, 1303612, 1303394",Government Monitor,"8, 7, 10, 1, 2, 9",2021-04-29T17:00:00Z,2023-05-08T06:00:00Z
